"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21079068	"数学科指導法Ⅰ"					"[\"岩田　耕司\"]"	"2021-12-12T07:28:43.638Z"		"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"後期集中"	"[[null,null]]"		"伊都地区"
21079063	"スクールカウンセリング"	"[\"EDU-TEP1402J\"]"	"EDU"	"TEP"	"1402J"	"[\"姫島　源太郎\"]"	"2021-10-13T10:04:36.668Z"	"-"	"日本語（J）"	"教育学部"	"学部4年（平成２９年度以前入学者）"	2	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21079061	"スクールカウンセリングⅠ"	"[\"EDU-TEP1406J\"]"	"EDU"	"TEP"	"1406J"	"[\"姫島　源太郎\"]"	"2021-10-13T10:04:01.430Z"	"-"	"日本語（J）"	"教育学部"	"学部４年（平成３０年度入学者）"	1	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21079062	"スクールカウンセリングⅡ"	"[\"EDU-TEP1407J\"]"	"EDU"	"TEP"	"1407J"	"[\"姫島　源太郎\"]"	"2021-10-13T10:04:19.885Z"	"-"	"日本語（J）"	"教育学部"	"学部４年（平成３０年度入学者）"	1	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21073051	"生徒指導論Ⅰ"	"[\"EDU-TEP1403\"]"	"EDU"	"TE"	"P"	"[\"西郡　大\"]"	"2021-12-13T07:32:32.778Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	1	2021	"秋学期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21073052	"生徒指導論Ⅱ"	"[\"EDU-TEP1404\"]"	"EDU"	"TE"	"P"	"[\"西郡　大\"]"	"2021-12-13T07:33:02.542Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	1	2021	"冬学期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21074053	"総合的な学習の時間の指導"					"[\"上原　洋祐\"]"	"2021-11-05T01:06:46.257Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年（平成３１年度以降入学者）"	1	2021	"冬学期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21073006	"中国語科指導法Ⅱ"					"[\"種村　由季子\"]"	"2021-04-14T02:54:53.765Z"	"-"			"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"水曜日\",\"２時限\"]]"	"-"	"伊都地区"
21079022	"道徳教育指導法Ⅱ"	"[\"EDU-TEP2344J\"]"	"EDU"	"TEP"	"2344J"	"[\"山岸　賢一郎\"]"	"2021-07-30T08:34:43.041Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21079023	"道徳教育指導法"	"[\"EDU-TEP2339J\"]"	"EDU"	"TEP"	"2339J"	"[\"山岸　賢一郎\"]"	"2021-07-30T08:40:37.494Z"	"-"	"日本語（J）"		"平成29年度以前入学者"	2	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21079021	"道徳教育指導法Ⅰ"	"[\"EDU-TEP2343J\"]"	"EDU"	"TEP"	"2343J"	"[\"山岸　賢一郎\"]"	"2021-07-30T08:13:57.202Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21079025	"特別支援教育Ⅰ"	"[\"-\"]"				"[\"小澤　永治\"]"	"2021-08-18T01:23:53.906Z"	"-"	"日本語（J）"		"学部2年・学部3年"	1	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21079026	"特別支援教育Ⅱ"	"[\"-\"]"				"[\"小澤　永治\"]"	"2021-08-18T01:24:15.759Z"	"-"	"日本語（J）"		"学部2年・学部3年"	1	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21073057	"仏語科指導法Ⅰ"	"[\"EDU-TEP2335\"]"	"EDU"	"TE"	"P"	"[\"木下　樹親\"]"	"2021-09-17T01:52:10.998Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"水曜日\",\"４時限\"]]"	"-"	"伊都地区"
21073059	"理科指導法Ⅲ"	"[\"EDU-TEP2319\"]"	"EDU"	"TE"	"P"	"[\"森藤　義孝\"]"	"2021-09-24T04:19:00.205Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"水曜日\",\"５時限\"]]"	"-"	"伊都地区"
21079019	"理科指導法Ⅱ"	"[\"EDU-TEP2318J\"]"	"EDU"	"TEP"	"2318J"	"[\"甲斐　初美\"]"	"2021-06-08T08:18:30.845Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21073005	"理科指導法Ⅳ"	"[\"EDU-TEP2320J\"]"	"EDU"	"TEP"	"2320J"	"[\"森藤　義孝\"]"	"2021-04-08T03:14:24.022Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"水曜日\",\"５時限\"]]"	"-"	"伊都地区"
21079065	"教育方法技術指導法"	"[\"EDU-TEP2341J\"]"	"EDU"	"TEP"	"2341J"	"[\"樋口　裕介\"]"	"2021-10-05T09:42:25.554Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	1	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21071064	"国語科指導法Ⅰ"					"[\"前田　眞證\"]"	"2021-10-04T02:12:24.228Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21072062	"社会・地理歴史科指導法Ⅰ"	"[\"EDU-TEP2307\"]"	"EDU"	"TE"	"P"	"[\"佐長　健司\"]"	"2021-10-20T10:01:26.803Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"-"	"伊都地区"
21073053	"生徒指導論"	"[\"EDU-TEP1401\"]"	"EDU"	"TE"	"P"	"[\"西郡　大\"]"	"2021-09-08T06:48:16.436Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21071052	"総合的な学習の時間の指導"					"[\"伊藤　友子\"]"	"2021-10-02T14:41:18.585Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年（平成３１年度以降入学者）"	1	2021	"冬学期"	"[[\"月曜日\",\"１時限\"]]"	"-"	"伊都地区"
21071051	"特別活動指導法"	"[\"EDU-TEP2340J\"]"	"EDU"	"TEP"	"2340J"	"[\"伊藤　友子\"]"	"2021-10-02T13:28:29.233Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	1	2021	"秋学期"	"[[\"月曜日\",\"１時限\"]]"		"伊都地区"
21079064	"理科指導法Ⅰ"	"[\"EDU-TEP2317J\"]"	"EDU"	"TEP"	"2317J"	"[\"甲斐　初美\"]"	"2021-10-22T07:22:44.840Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
