"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21251104	"建築計画Ｅ"	"[\"ENG-ARC2505J\"]"	"ENG"	"ARC"	"2505J"	"[\"志波　文彦\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"建築学科 / Department of Architecture"	"3"	3	1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251105	"コンピュータシステムⅠA"	"[\"ENG-CSE3211J\"]"	"ENG"	"CSE"	"3211J"	"[\"小野　貴継\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"電気情報工学科（C課程） / Department of Electrical Engineering and Computer Science"	"3"	1	1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251106	"基礎構造力学A"	"[\"ENG-AER2221J\"]"	"ENG"	"AER"	"2221J"	"[\"矢代　茂樹\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"機械航空工学科（航空） / Department of Mechanical and Aerospace Engineering"	"3"	1	1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251107	"材料強度物性"	"[\"ENG-MTR3411J\"]"	"ENG"	"MTR"	"3411J"	"[\"田中　將己\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"物質科学工学科（材工） / Department of Materials Science and Engineering"	"3"	1	2	2021	"春学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251108	"接合・複合工学"	"[\"ENG-MTR3372J\"]"	"ENG"	"MTR"	"3372J"	"[\"宮原　広郁\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"物質科学工学科（化プロ・材工）　/ Department of Materials Science and Engineering"	"3・4"	1	2	2021	"春学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251109	"地下空洞設計法"	"[\"ENG-ERT2222J\"]"	"ENG"	"ERT"	"2222J"	"[\"島田　英樹\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"地球環境工学科（地シス） / Department of Earth Resources, Marine and Civil Engineering"	"3"	3	2	2021	"春学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251110	"コンピュータシステムⅠB"	"[\"ENG-CSE3212J\"]"	"ENG"	"CSE"	"3212J"	"[\"小野　貴継\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"電気情報工学科（C課程） / Department of Electrical Engineering and Computer Science"	"3"	1	1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251111	"基礎構造力学B"	"[\"ENG-AER2222J\"]"	"ENG"	"AER"	"2222J"	"[\"矢代　茂樹\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"機械航空工学科（航空） / Department of Mechanical and Aerospace Engineering"	"3"	1	1	2021	"夏学期"	"[[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251112	"建築材料"	"[\"ENG-ARC1811J\"]"	"ENG"	"ARC"	"1811J"	"[\"小山　智幸\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"建築学科 / Department of Architecture"	"2"	3	2	2021	"夏学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251113	"材料表面科学"	"[\"ENG-MTR3361J\"]"	"ENG"	"MTR"	"3361J"	"[\"中野　博昭\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"物質科学工学科（材工） / Department of Materials Science and Engineering"	"3"	1	2	2021	"夏学期"	"[[\"月曜日\",\"２時限\"],[\"水曜日\",\"２時限\"]]"	"＿"	"伊都地区"
