"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"unit"	"year"	"quarter"	"day_time"	"area"	"classroom"	"target_students_from"
21532759	"学術英語・プロダクション２"	"[\"KED-LCB1156W\"]"	"KED"	"LCB"	"1156W"	"[\"松村　瑞子\"]"	"2021-08-31T01:16:00.777Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"]]"	"伊都地区"		
21532766	"ドイツ語ⅡA"	"[\"KED-LCB1215J\"]"	"KED"	"LCB"	"1215J"	"[\"堀口　里志\",\"堀口　順子\"]"	"2021-10-10T12:02:44.130Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532767	"ドイツ語ⅡB"	"[\"KED-LCB1216J\"]"	"KED"	"LCB"	"1216J"	"[\"堀口　里志\",\"堀口　順子\"]"	"2021-10-10T12:03:41.515Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532768	"フランス語ⅡA"	"[\"KED-LCB1315J\"]"	"KED"	"LCB"	"1315J"	"[\"佐藤　典子\",\"倉方　健作\"]"	"2021-10-02T03:47:16.563Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532769	"フランス語ⅡB"	"[\"KED-LCB1316J\"]"	"KED"	"LCB"	"1316J"	"[\"佐藤　典子\",\"倉方　健作\"]"	"2021-10-02T03:47:58.282Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532770	"フランス語ⅡA"	"[\"KED-LCB1315J\"]"	"KED"	"LCB"	"1315J"	"[\"安藤　智子\",\"阿尾　安泰\"]"	"2021-08-31T10:54:22.353Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532771	"フランス語ⅡB"	"[\"KED-LCB1316J\"]"	"KED"	"LCB"	"1316J"	"[\"安藤　智子\",\"阿尾　安泰\"]"	"2021-08-31T10:55:42.643Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532779	"中国語ⅡB"	"[\"KED-LCB1416J\"]"	"KED"	"LCB"	"1416J"	"[\"劉　驫\"]"	"2022-01-15T03:43:06.483Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532786	"韓国語ⅡA"	"[\"KED-LCB1615J\"]"	"KED"	"LCB"	"1615J"	"[\"李　相穆\",\"大川　大輔\"]"	"2021-10-01T08:43:21.395Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532787	"韓国語ⅡB"	"[\"KED-LCB1616J\"]"	"KED"	"LCB"	"1616J"	"[\"李　相穆\",\"大川　大輔\"]"	"2021-10-01T08:44:04.893Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532788	"韓国語ⅡA"	"[\"KED-LCB1615J\"]"	"KED"	"LCB"	"1615J"	"[\"崔　秀蓮\",\"朴　順伊\"]"	"2021-10-02T00:08:38.681Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532789	"韓国語ⅡB"	"[\"KED-LCB1616J\"]"	"KED"	"LCB"	"1616J"	"[\"崔　秀蓮\",\"朴　順伊\"]"	"2021-10-02T00:09:41.255Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532790	"スペイン語ⅡA"	"[\"KED-LCB1715J\"]"	"KED"	"LCB"	"1715J"	"[\"エステバン　コルドバ　アロジョ\",\"宮城　志帆\"]"	"2021-09-28T02:51:25.618Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532791	"スペイン語ⅡB"	"[\"KED-LCB1716J\"]"	"KED"	"LCB"	"1716J"	"[\"宮城　志帆\",\"エステバン　コルドバ　アロジョ\"]"	"2021-09-28T02:52:33.353Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532792	"スペイン語ⅡA"	"[\"KED-LCB1715J\"]"	"KED"	"LCB"	"1715J"	"[\"蔦原　亮\",\"宮城　志帆\"]"	"2021-08-19T06:53:42.907Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
21532793	"スペイン語ⅡB"	"[\"KED-LCB1716J\"]"	"KED"	"LCB"	"1716J"	"[\"蔦原　亮\",\"宮城　志帆\"]"	"2021-08-19T06:54:17.618Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"金曜日\",\"３時限\"]]"	"伊都地区"		
