"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21700002	"統計・データ科学"	"[\"DES-END3022J DES-IND3021J DES-VCD3031J DES-ACD3021J DES-AID3031J\"]"	"DES"	"END"	"3022J"	"[\"丸山　修\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　共通　Department of Environmental Design/Department of Industrial Design/Department of Visual Communication Design/Department of Acoustic Design/Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"前期集中"	"[[\"その他\",\"その他\"]]"	"511"	"大橋地区"
21702107	"都市プロジェクト"	"[\"DES-END3492W\"]"	"DES"	"END"	"3492W"	"[\"田上　健一\",\"鵜飼　哲矢\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"芸術工学部　環境設計学科　Department of Environmental Design"	"学部3年　Undergraduate third grade"	3	4	2021	"後期"	"[[\"金曜日\",\"２時限\"],[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"]]"	"2号館2Ｆ製図室 /　2building 2F drafting room"	"大橋地区"
21704004	"人間科学とデザイン"	"[\"DES-END2033J\",\"DES-IND2033J\",\"DES-DFT2033J\",\"DES-MED2033J\",\"DES-ACD2033J\"]"	"DES"	"END"	"2033J"	"[\"樋口　重和\",\"伊藤　裕之\",\"上田　和夫\",\"大井　尚行\",\"丸山　修\",\"村木　里志\"]"	"2021-05-29T04:11:10.036Z"	"デザインリテラシー科目　Design Literacy Subjects"	"日本語（J）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"春学期"	"[[\"月曜日\",\"２時限\"]]"	"525"	"大橋地区"
21704201	"人間工学演習Ⅰ"	"[\"DES-IND2121J\"]"	"DES"	"IND"	"2121J"	"[\"LOH PING YEAP\",\"澤井　賢一\",\"西村　貴孝\",\"樋口　重和\",\"前田　享史\",\"村木　里志\",\"元村　祐貴\"]"	"2021-05-26T07:29:13.564Z"	"コース演習科目 (PBL)　Course Seminar Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	1	4	2021	"前期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"]]"	"525，環境適応研究実験施設/525,Research Center for Human Environmental Adaptation"	"大橋地区"
21704203	"人間工学概論"	"[\"DES-IND2111J\"]"	"DES"	"IND"	"2111J"	"[\"前田　享史\",\"澤井　賢一\",\"西村　貴孝\",\"樋口　重和\",\"村木　里志\",\"元村　祐貴\",\"LOH PING YEAP\"]"	"2021-05-25T04:25:39.548Z"	"コース基礎科目　Course Fundamental Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部2年　Undergraduate second grade"	3	2	2021	"春学期"	"[[\"月曜日\",\"５時限\"],[\"木曜日\",\"３時限\"]]"	"511"	"大橋地区"
21702204	"人間工学研究法"	"[\"DES-IND3132J\"]"	"DES"	"IND"	"3132J"	"[\"村木　里志\",\"西村　貴孝\",\"樋口　重和\",\"前田　享史\",\"元村　祐貴\",\"LOH PING YEAP\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　工業設計学科　Department of Industrial Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"火曜日\",\"５時限\"]]"	"512"	"大橋地区"
21702205	"人間工学設計演習"	"[\"DES-IND3151J\"]"	"DES"	"IND"	"3151J"	"[\"元村　祐貴\",\"樋口　重和\",\"前田　享史\",\"村木　里志\",\"LOH PING YEAP\",\"西村　貴孝\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　工業設計学科　Department of Industrial Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"木曜日\",\"３時限\"],[\"木曜日\",\"４時限\"]]"	"525，環境適応研究実験施設／525，Research Center for human environmental adaptation"	"大橋地区"
21700205	"人間工学設計法"	"[\"DES-IND3131J\"]"	"DES"	"IND"	"3131J"	"[\"西村　貴孝\",\"樋口　重和\",\"前田　享史\",\"村木　里志\",\"元村　祐貴\",\"LOH PING YEAP\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　工業設計学科　Department of Industrial Design"	"学部3年　Undergraduate third grade"	3	2	2021	"前期"	"[[\"木曜日\",\"１時限\"]]"	"511"	"大橋地区"
21702508	"バーチャルリアリティ"	"[\"DES-AID3422J\"]"	"DES"	"AID"	"3422J"	"[\"何　昕霓\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"芸術工学部　芸術情報設計学科　Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"後期"	"[[\"木曜日\",\"３時限\"]]"	"512"	"大橋地区"
21700504	"比較映画・演劇文化演習"	"[\"DES-AID3213W\"]"	"DES"	"AID"	"3213W"	"[\"吉村　理一\",\"冬野　美晴\",\"大島　久雄\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"芸術工学部　芸術情報設計学科　Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"前期"	"[[\"木曜日\",\"４時限\"],[\"木曜日\",\"５時限\"]]"	"511"	"大橋地区"
